"ID","URL","Image","Title","Description","Price","Currency","custom_label_0"
"telegram-lead-generator","https://ai-tehcon.ru/catalog/telegram-lead-generator/","https://ai-tehcon.ru/images/optimized/telegram_lid-w768.webp","Telegram рассылка по холодной базе для генерации лидов","Автономный ИИ-агент для Telegram, который превращает холодную базу в поток квалифицированных лидов, имитируя работу топового сейлз-менеджера 24/7. Стоимость от 10 000 ₽/мес.","10000","RUB","Продажи"
"influencer-data-automation","https://ai-tehcon.ru/catalog/influencer-data-automation/","https://ai-tehcon.ru/images/optimized/influencer-w768.webp","Парсинг и аналитика инфлюенсеров для e-commerce","Автономная система для сбора данных о блогерах из соцсетей, автоматического обогащения Google Таблиц и умной фильтрации целевых контактов. Стоимость от 10 000 ₽/мес.","10000","RUB","Маркетинг"
"crypto-morning-digest","https://ai-tehcon.ru/catalog/crypto-morning-digest/","https://ai-tehcon.ru/images/optimized/trading-w768.webp","ИИ-агрегатор новостей и аналитики для криптотрейдеров","Автономный агент, который собирает обзоры монет и новости от выбранных трейдеров, формируя очищенный утренний дайджест в Telegram. Стоимость от 10 000 ₽/мес.","10000","RUB","Аналитика"
"investment-topup-automation","https://ai-tehcon.ru/catalog/investment-topup-automation/","https://ai-tehcon.ru/images/optimized/invest_note-w768.webp","Автоматизация напоминаний о пополнениях для финансового консалтинга","Система умных триггерных напоминаний, которая контролирует график инвестиций, исключает человеческий фактор и максимизирует доходность за счет сложного процента. Стоимость от 5 000 ₽/мес.","5000","RUB","Финансы"
"ai-wealth-assistant","https://ai-tehcon.ru/catalog/ai-wealth-assistant/","https://ai-tehcon.ru/images/optimized/finance_health-w768.webp","Персональный ИИ-ассистент по активам и финансовому планированию","Автономный ИИ-агент, который знает весь финансовый план клиента, отвечает на рутинные вопросы по бюджету и экономит до 8 часов в неделю живому советнику. Стоимость от 10 000 ₽/мес.","10000","RUB","Финансы"
"marketplace-custom-ai-analyst","https://ai-tehcon.ru/catalog/marketplace-custom-ai-analyst/","https://ai-tehcon.ru/images/optimized/marketplace-w768.webp","ИИ-аналитик и кастомные дашборды для селлеров (WB / Ozon)","Индивидуальная разработка аналитической панели под запросы вашего бизнеса. Вы ставите задачу — мы собираем дашборд, а ИИ-агент помогает интерпретировать данные. Стоимость от 15 000 ₽/мес.","15000","RUB","Маркетплейс"
"ai-blogging-agent","https://ai-tehcon.ru/catalog/ai-blogging-agent/","https://ai-tehcon.ru/images/optimized/blog-w768.webp","ИИ-агент для ведения блога и развития личного бренда","Ваш личный ИИ-редактор в Telegram. Превращает короткие голосовые размышления в готовые экспертные посты для Telegram-каналов и LinkedIn. Стоимость от 5 000 ₽/мес.","5000","RUB","Маркетинг"
"pinterest-seo-traffic-agent","https://ai-tehcon.ru/catalog/pinterest-seo-traffic-agent/","https://ai-tehcon.ru/images/optimized/pinterest-w768.webp","ИИ-агент для автоматизации Pinterest и генерации SEO-трафика","Автономная система, которая сама придумывает идеи, генерирует уникальные изображения с текстом, пишет SEO-описания и публикует пины по расписанию для кратного роста трафика. Стоимость от 5 000 ₽/мес.","5000","RUB","Маркетинг"
"ai-agent-for-1c-chat-voice-analytics","https://ai-tehcon.ru/catalog/ai-agent-for-1c-chat-voice-analytics/","https://ai-tehcon.ru/images/optimized/1c-dialog-ai-agent-w768.webp","ИИ-агент для 1С: ответы по данным бизнеса","Получайте ответы по продажам, остаткам, долгам и заказам из 1С в чате или голосом без ручной подготовки отчетов. Стоимость от 50 000 ₽/мес.","50000","RUB","Аналитика"
"1c-supplier-contract-penalty-analysis","https://ai-tehcon.ru/catalog/1c-supplier-contract-penalty-analysis/","https://ai-tehcon.ru/images/optimized/1c-supplier-contract-penalty-analysis-w768.webp","Анализ договоров поставки на предмет нарушений","ИИ анализирует договоры поставки, сверяет условия с оплатами и поступлениями в 1С и рассчитывает штрафные санкции поставщиков за период. Стоимость от 100 000 ₽/мес.","100000","RUB","Автоматизация"
